screener,category,addressable_universe,unique_symbols_fired,coverage_pct_of_universe,pct_of_firing_symbols_in_sp500,n_signals,mean_xret_63d,median_xret_63d,mean_xret_252d,median_xret_252d
short_interest_decline,v8 (S&P 500 ONLY by design),503,499,99.2,100.0,17122,0.3680544693974577,-0.48432648181915283,2.073757808988386,-2.0436947345733643
insider_buying,v8 (S&P 500 ONLY by design),503,285,56.7,100.0,831,1.4339634029610644,0.35268712043762207,7.16705479078892,0.5042963027954102
coffee_can,fundamental (SEC EDGAR subset),5016,316,6.3,33.2,623,-0.935953950881958,-2.2501230239868164,-0.728511367773532,-4.979335784912109
roce_plus,fundamental (SEC EDGAR subset),5016,668,13.3,32.0,2195,0.46418137024297856,-0.2718923091888428,0.19410013074251875,-3.0007247924804688
piotroski,fundamental (SEC EDGAR subset),5016,1414,28.2,23.6,3193,0.018737387831656835,-1.2555570602416992,-0.7944557770929381,-3.8815383911132812
operating_margin,fundamental (SEC EDGAR subset),5016,1296,25.8,23.3,6424,0.7224482481092921,-1.3423800468444824,-2.0992481764419613,-6.07822847366333
net_margin,fundamental (SEC EDGAR subset),5016,1897,37.8,20.1,8472,-0.28540422557415696,-1.4697670936584473,-1.349287993381866,-4.995244979858398
fcf_margin,fundamental (SEC EDGAR subset),5016,1779,35.5,19.1,7750,0.2213336684197433,-1.2939540147781372,-0.5119438270819521,-4.788231611251831
peg_value,fundamental (SEC EDGAR subset),5016,2366,47.2,17.2,7129,-0.8858900223563049,-2.81728458404541,-0.5170932649093449,-7.0060670375823975
fcf_yield,fundamental (SEC EDGAR subset),5016,1860,37.1,17.2,8688,-2.031620863872151,-3.4465789794921875,-0.5383144845327563,-6.855606555938721
ev_ebitda_value,fundamental (SEC EDGAR subset),5016,1204,24.0,16.9,5117,-1.1554765304476873,-3.109544515609741,3.3407094092610907,-7.765119791030884
debt_reduction,fundamental (SEC EDGAR subset),5016,1369,27.3,16.6,3145,0.7284014372669664,-1.2360990047454834,6.177747075181259,-3.537565231323242
net_debt_ebitda,fundamental (SEC EDGAR subset),5016,2443,48.7,16.3,18829,1.7123762893529737,-0.7602548599243164,2.352194376915293,-4.530936241149902
graham_10y,fundamental (SEC EDGAR subset),5016,1089,21.7,15.6,5223,-2.977439154993379,-3.765869140625,1.0451532960474912,-5.962968826293945
ev_sales,fundamental (SEC EDGAR subset),5016,1760,35.1,15.2,8594,0.455897217655809,-2.756383776664734,6.399654113616983,-7.948604106903076
ps_value,fundamental (SEC EDGAR subset),5016,1656,33.0,14.9,8224,0.10734920914948316,-2.9299378395080566,5.650094847222452,-7.9164323806762695
magic_formula,fundamental (SEC EDGAR subset),5016,364,7.3,14.8,755,-2.2224488052555604,-3.139352798461914,3.4652265908012927,-6.2769951820373535
buyback_yield,fundamental (SEC EDGAR subset),5016,2531,50.5,14.5,7893,-1.026111719505088,-2.847158908843994,0.17452306388118416,-5.089390754699707
growth_stocks,fundamental (SEC EDGAR subset),5016,396,7.9,13.1,562,1.5022948545870276,-3.551459312438965,6.058640689724133,-4.979335784912109
bull_cartel,fundamental (SEC EDGAR subset),5016,2136,42.6,12.7,4262,1.0768495993273781,-1.6348183155059814,2.0948175883894904,-6.58570671081543
not_distress,fundamental (SEC EDGAR subset),5016,1447,28.8,12.4,6429,-2.262439055593485,-3.952282667160034,-2.6747296155169464,-12.015022277832031
roic_value,fundamental (SEC EDGAR subset),5016,2960,59.0,11.9,15348,1.5610440018875846,-1.649773359298706,1.7777075681413006,-6.368005752563477
capacity_expansion,fundamental (SEC EDGAR subset),5016,3511,70.0,11.8,13494,1.2554252954896823,-1.8427252769470215,2.954817908004538,-6.663322448730469
pb_value,fundamental (SEC EDGAR subset),5016,2609,52.0,11.7,15268,-1.5983727593519765,-3.811943531036377,3.8207209317323736,-8.215392112731934
eps_growth,fundamental (SEC EDGAR subset),5016,3878,77.3,11.5,16730,0.664010841112561,-2.1990418434143066,3.347827984358247,-6.887578725814819
pead_positive_surprise,fundamental (SEC EDGAR subset),5016,4187,83.5,11.5,24939,0.8181637217809392,-1.827239990234375,3.2371487398492644,-5.635148048400879
low_asset_growth,fundamental (SEC EDGAR subset),5016,4205,83.8,11.5,29756,0.35560724901350155,-2.383756637573242,2.6729566765239396,-6.8941473960876465
sloan_quality,fundamental (SEC EDGAR subset),5016,4332,86.4,11.1,37529,0.045561939898386285,-2.4806201457977295,1.7856596782323206,-7.733345985412598
reversal_monthly,technical (full OHLCV universe),6480,5526,85.3,8.7,200298,-0.7038301754390415,-6.299514055252075,-11.73392191791104,-23.602319717407227
reversal_weekly,technical (full OHLCV universe),6480,5742,88.6,8.4,410860,-1.3909336245938548,-5.5897862911224365,-10.98455608997648,-21.19847297668457
low_beta,technical (full OHLCV universe),6480,5289,81.6,7.7,45124,-2.595168404039896,-4.273495435714722,-5.860346851161979,-14.182115077972412
new_highs,technical (full OHLCV universe),6480,6349,98.0,7.6,214829,0.38081092659202986,-2.59552001953125,130.50095201658516,-8.841312408447266
below_200dma,technical (full OHLCV universe),6480,6464,99.8,7.5,228056,89.00639309476959,-3.0934691429138184,136.2658148397299,-12.264609336853027
golden_cross,technical (full OHLCV universe),6480,6453,99.6,7.5,40037,7.280459199665434,-4.102218389511108,26.96561180414897,-13.677668571472168
darvas,technical (full OHLCV universe),6480,6447,99.5,7.5,75651,5.562844658647752,-3.211334228515625,301.00530553076436,-10.380104064941406
small_cap_growth,fundamental (SEC EDGAR subset),5016,356,7.1,3.1,511,4.881178866819557,-4.448169469833374,15.44187465410554,-13.783771514892578
